name,image,class,class type,subclass,magic,tags,durability,strength,range,arrows,defense,defense_upgrade_lvl1,defense_upgrade_lvl2,defense_upgrade_lvl3,defense_upgrade_lvl4,bonus,description,selling_price,bonus_set,upgrade_1,upgrade_2,upgrade_3,upgrade_4,armor_upgrade,where_to_find,notes
Flameblade,BotW_Flameblade_Icon.png?version=378880baed6c492c14e7d5c2ada13c49 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/Z1PEVK5guakHG0DkeG3xHg/yjtb85eekNUZqrBBMiTMIBr3_cmdnpSHSq9ujfnbhvzQ4y1SvbGCeatojLVDsWIcq4yrT6kto8zlTepp897Am0gGfARPgKpF3x38Iknoa-7O_yYPj9xT0sD1UxJkqYPY5x19u6sXB7FLWFq2DYWB9GEA2C0NwCmBfBR750j_W9g/G2zOFX0TjwQslswuYTsW477W6VoYkiI-N5_9nk3NFPU),Weapon,Sword,Light,Yes,,36,24,,,,,,,,,This magical sword was forged in the lava of Death Mountain. It leaves white-hot flames in its wake when the blade glows red.,,,,,,,,,
Forest Dweller's Sword,BotW_Forest_Dweller%27s_Sword_Icon.png?version=88623c7e6379130b616c5fa90614ee43 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/2MKHI2R1w33FxY-slQp7Tw/zVJPCa31l9o7Llop2ugZhgyj5F-rje0jWwP0Te8FFEW8tfHnTCeDPKEAi-xV1gSnldoisi8n366nGRedPvMJQqPf4M0MSSiGKQlxVgVKLReDfJqIGHEFU20--CiCvt7hDGxH-9KA1nNRsjUUrqrPF1wnJgaHkZK2TYMqXzq1RfyL861R6MMisjaxirjtLQL6/r8w8fFB4CEF_KrRm4ARoeKuKFRtejWKMCHAPAX6K8PM),Weapon,Sword,Light,No,,27,22,,,,,,,,,"Koroks made this sword for Hylians. It's made of wood, so it isn't the best choice for head-on attacks. Its original intent was likely clearing vines to forge paths through forests.",,,,,,,,,
Frostblade,BotW_Frostblade_Icon.png?version=af048125d87020f92ecbec3f7e3d9001 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/4Psoqtk0Xr-1cp6z5ZPbFw/LJisXJ8pWTk-A8jzNNSNDXZO09rNFIZMrjNc1I5Cdy6x2fST-nKrSt82xt9v8amZVvtEGIwXZ3nXVxB0VEvs6NsnmRSh-fvSnPC46NSKyWvLbYcGWQBHvIEZaulz38DvLFR9ZtLxUPLhNpMbvHHCzuBccwLAna-uwFxpVJpJ22Y/Mn6j6nyYSHTsfrKn7-Iw2nRJeXPQKUhx0f2Oa7bQiWU),Weapon,Sword,Light,Yes,,30,20,,,,,,,,,"A magical sword forged in the frigid mountains of the Hebra region. When the blade glows blue, enemies struck by it will become frozen.",,,,,,,,,
Gerudo Scimitar,BotW_Gerudo_Scimitar.png?version=df8d9bb8601c11092a8745449ec98151 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/FOtPa6gzDlUzaSRZVajmHA/DByLWL-FqtG1slXGSePNhtoFXFkq9YVVsQvrsFo3inHVYp7EGE8_KnB5DnzE7gSwiaqhFc5a1PO2pmIyFxjbdqeGhC2hoKGupS7a-gQp5Ci1lr42Qhs3aR0URB1BClIbDJW0vt7TVcgTAMLsjNAIl01SCvUfT2mCudPPf5dHZhk/4h-R5dFI5yOyLLCR3i-Rw3fNYCdItV2Ay6RXYOzx6w0),Weapon,Sword,Light,No,,23,16,,,,,,,,,"This common sword is often carried by Gerudo women for self-defense. Its short, curved blade is easily recognized.",,,,,,,,,
Goddess Sword,BotW_Goddess_Sword_Icon.png?version=e1ef7f990d4114f63e1030114dac1fa2 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/h4IORzDUG1E8C9OfnnKqPA/Cati73f7p0BVTVsr7se77DO4NltHNUEF1VBFQwaGtoYipOUofXUMb0DvooNS1Xc_FYyVfNQFDqvL8GSoO8emefld737HEjE2sDVlOVO5PGLZyMzLlvM1MURTE2sTM_892vJsNjGpM0Eq0CZTVoGsySAmARSnY_m-w9gGwvZ-fO4/CV5XmdEtUKogzVhRwdMRTzIwxORW5h19vd_i5mzW1-E),Weapon,Sword,Light,No,,45,28,,,,,,,,,"A sword said to have once belonged to a hero from the sky. Its blade houses the fire of the Goddess. When wielded, a strange yet heavenly breeze kicks up around you.",,,,,,,,,
Guardian Sword,BotW_Guardian_Sword_Icon.png?version=cf6741a64950949ca0d6e503f7d955d2 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/z0JgucDRMEpr-_91ZiYdtA/DRoezG37UnspXruji8ruY8cdtmFntl3IU0-5ZWQ3tZQqm_gABGNbadbPrAAnj322g-gMRRUDCIE8UgM0QPmuuMhTtEjccA3tQ6hV_50nZ_Eyu9Zr6TCmOqoExHAOpUvcq2eSwkIBwQ0K34hmss8vLk45Q16qtLpOGMnQuIBcrok/a32vomEmgyYhyrfJdKAGp6XdUT3F16oacY9x74OYdvE),Weapon,Sword,Light,No,,17,20,,,,,,,,,A sword often wielded by Guardian Scouts. Its blue energy blade is a product of ancient technology. It's not very durable.,,,,,,,,,
Guardian Sword+,BotW_Guardian_Sword%EF%BC%8B_Icon.png?version=0d0e5f87e1b3c554260f2e9ece9717e7 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/H9P0bVyAOcabZM_jdeC5JA/y8J9PJ3uQ5VxgvluU-jvuAYfGZE3PZmHkS9j0ZDWAZ7OW2XathgUuonHwHWuqmE4RjpLsnbPmeelP9OgMn7om2BrYB5mijFNQB21Mc1lU2PnAEdT_BpMmG1VNIcpKD2J4plwsHcuJfZ6Sh2bMfwNl7sMM9roSXd37jLYMt_5Xejj0AVa8QcWODbJw40_McQI/hn1lP2ZUc8SvcGfJcLZD-7O4o9VsAYv1G3RWC1cb8LI),Weapon,Sword,Light,No,,26,30,,,,,,,,,"This Guardian sword has enhanced power over the standard model. Its cutting capabilities are improved, and its durability has seen a slight uptick.",,,,,,,,,
Guardian Sword++,BotW_Guardian_Sword%EF%BC%8B%EF%BC%8B_Icon.png?version=18bf6036bfcb5c8ae526812038c5baeb (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/Qi1yUOWDps-QXuZ9GJx57w/v3vJfgn7yYd0mtzR0w-1Ax62gyw2rmodYPipf9cvcbkZ7CQQG7Zi0qTqe5kdZwg_vDhQ3yN2MiUjvYQjARXu4RhOMBoPeMF0jYFeSX_OfP-OUvCwQeyPiOm1z6hg5Ee4y69kOjyyODSpJbKA7DaT1Xzzce8zKR3DlHJYQxVmiq2ntCv6pjV8F7sVgxeyZlPbUmpgyztiCUqhx4PSpwI4_Q/cJp_YGR6JT2-4n37SzRFjVl95cZKQIETFzvHwtYxMk4),Weapon,Sword,Light,No,,32,40,,,,,,,,,"The abilities of this Guardian sword have been boosted to the maximum, as evidenced by its increase in size. It slices through armor like a hot knife through butter!",,,,,,,,,
Ice Rod,BotW_Ice_Rod_Icon.png?version=2ba541812492b6d4d07a443e100810fe (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/Q4SloPBafMLeGddJS3Si2g/oiajB658GpmhUJOX_1mPgoOWZWcGEMNogA3N_iftFtnut71B_ZFb50EYX1ge18eEpvKMOhXULe1Eo1BblanVR3oHJEYb8D9YS5R0EdZVVPNgkh0UZkZ4hs7k0un0Qss2qf4xRQAnylZv4V_db2F4rsnVHCBK_oEz780chH209dk/KFjjsgiww35S7kFzI5brnQubE-tCQj5YbcbGOblSan8),Weapon,Rod,Light,Yes,,14,5,,,,,,,,,A magical rod crafted from refined ice found in the Hebra Mountains. This rod can cast waves of freezing air. Great for magic—not so great for melee.,,,,,,,,,
Knight's Broadsword,BotW_Knight%27s_Broadsword_Icon.png?version=e7a73ff8cd5dc5cda8b553d488a43016 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/G7N55DkKabjxGbDb2_YQXQ/OgzT6ik49uWI8_-3tNslzkP6JZT1a7zo-OwKVd0agMGAS_8xvpp7vj9-CbEWFH6bZMG8Wp7_ma-PhbYXKPMLEV6E2IoG1ynu85hugujcFx2-UbofPWs7fKh9jy_aXaahdgEslN0FWkHbkm2X00pW9wxgsUcgvrO8RCtj4CkzT2O9dprrTEX7QXmOncz_oEiE/TUUuLHEifmyUYTh12MTaAizlXA5gEWrKwToinrYbqz8),Weapon,Sword,Light,No,,27,26,,,,,,,,,Knights of Hyrule once carried this sword. These days it's the weapon of choice for seasoned adventurers thanks to its ease of use and high attack power.,,,,,,,,,
Lightning Rod,BotW_Lightning_Rod_Icon.png?version=21d53a4260fb655d60a776e76f0da857 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/IDdmVmuZDlvbrWP56GMpNw/DjYdffWcsEk8P5GzTW0uKmipa9ycZKwYlsoWobgK20C5ok7z_waknXdJJDQaNofQdtvvLkhHeFHZ2Znop6HYtbWF-_tM4Mq7u_At4c0PjcwotEptOGTrLoQEinQvW1u1_f_saJjCe3I0_RiPpejw-R8Sfv6kOiNScwnV0B4RpF0/8aXj2VVpLzdOt2RB5Sl8mxTXWMwZz9n5dZsCtPBjT84),Weapon,Rod,Light,Yes,,14,5,,,,,,,,,A magical rod that can shoot balls of electricity. Its gem contains lightning from the Hyrule Hills. It's not recommended to use as a melee weapon.,,,,,,,,,
Lizal Boomerang,BotW_Lizal_Boomerang_Icon.png?version=18e7873a64df0ee2418d119a17d24b69 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/2nY1rn62nV31drlK7Ylc1Q/o-pTRlq7WEVCSbUeE6QX2MHoHx3CQxbx8GX9ysKXChC0BpuEu5hSMZDenJ9iNfwKzJxR43jBBkRCbrboDiEUIJ46YxqcjXo_ECP9VgFcFhzLIkl9QuUnPTueekxq1Cd3ba30zBeLoECZAbjROOVp3yJoMkj3ok1TccvMFqcgl5Q/ZKlZhSl5CnjOaobEEhUF7RsRdtNDCzXWPID5mkzuSJE),Weapon,Boomerang,Light,No,,17,14,,,,,,,,,A curved sword favored by the Lizalfos. It can be used to attack directly or can be thrown like a boomerang.,,,,,,,,,
Lizal Forked Boomerang,BotW_Lizal_Forked_Boomerang_Icon.png?version=2359b1f2148a0132c47825bf6a895026 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/RFCVUoOjbba1yFS_8wF36A/JfgGYGMiBEsqMqd6Nk_oyALlhhuvz2yTo4VCIMRCJIhh_UcgcnER7YHikhJvtbfkpnsYYH1p5zuFAUDlfO5V4I-6Gn2PASRCB51LbpwXisUj-bssUEs6sfl_ta0GydyDraqgKEzogp-I0OISHGi7sOYkAf7i_IGoi2OQZSpMECDrBz4klDX5nL3D3qNIRHSy/s3DikCz78JT8ZAqCYifALn12WDoORrbseE9Uv8KNgMY),Weapon,Boomerang,Light,No,,25,24,,,,,,,,,"Blue Lizalfos in particular like this weapon. It has one more blade than the Lizal boomerang to give it additional cutting power, and it still returns when thrown.",,,,,,,,,
Lizal Tri-Boomerang,Lizal-tri-boomerang.png (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/WBBZLnPV-3SizazCH3jvJg/8bZdZIeSyvxmC4gUkCatavJGr-4cdvNP4YvgF6mmgPPASwdX-f8xRifek5QRQSJ9Eh9Voe6dfrGPpC7HLnvU4oGuG7fCIe0fi7MmVLjpUjMP3cqPEA2lotF8oLv_o0PQ/BLxSzZUtSRDIZKjAacFaVScvE9R-FbUi1YRlFdoZ3z4),Weapon,Boomerang,Light,No,,27,36,,,,,,,,,"More blades means more attack power! It can be used as a boomerang, but all those blades makes that a bit more dangerous. Carried by Black Lizalfos seasoned in battle.",,,,,,,,,
Lizalfos Arm,BotW_Lizalfos_Arm_Icon.png?version=7d8e6d06bfece170e2a76e2252a00684 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/pWZyn7Jzcc_ZxLfbOecFSA/bcoKTlH-DzYD7W1g9n8c_oknQvnB2Iwrr4uTEtRTTLcQTbAosBOoKVw8Pc4N1GByPpnrAOqRJwRcBDUp87HRTfttUxAKT-oZ-JPE_I1759_o6f3dQd2ARR_6s9ANXGTuSVYPJ6KevaovQWMGpER5yAyGb5LXgrM2jxsXvzYZolA/9pgMB7C-kcxErmZGXq9EPpn_5cSz-_uZfqZbx9dUhe8),Weapon,Club,Light,No,,8,12,,,,,,,,,"The arm of a Stalizalfos that continues to struggle even in death. It can be used as a weapon, but it's very brittle. You can feel it wiggling when you strap it to your back...",,,,,,,,,
Lynel Sword,BotW_Lynel_Sword_Icon.png?version=a37d5929ce0925d70e5a4b74beea7c43 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/ODWXD_eRxG5LKVoRlxk2WA/NHYOXRdaE00iCQ3ELTg7qCJAHijpTL8kuRbA3NpUSjGD-T53DQ5AWq5oMuFEjvpaollstgsCwCFZ2RqCSsA_M95Df77NBJFFQ1yuHAF7MP31Nrh1-KOxBSErhyMDe9EliDRxNU8GopjtM5GUaboQ983TpqrD9b5CJUAsPjqKppQ/eEbsq_kmnl46nYvmTqequZBtCAeXUFNtByHc75EbQFc),Weapon,Sword,Light,No,,26,24,,,,,,,,,"This Lynel-made sword was designed with smashing in mind rather than slicing. It's on the heavy side compared to what Hylians are used to, but it's very strong.",,,,,,,,,
Master Sword,BotW_Master_Sword_Icon.png?version=5421ab286eed8d3a100b6e034073e797 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/X5PMuA5nNwU7I-J_FihuFA/_RwMf2k6quYwoARM2yc0_SkyjXG4QgWQjT2GWX_6BI8dCafqqs3fPUaQxj7Pr9cbJaVyedZqJNPS608PGZu45QTRfkcruaeh4o-_KYvkf9bP-FVOZLf8Re9iFxVdlS1L62RAyYDRgD3E0q2JbFtTkbZyZUBwzTtTqy7Q67PUs40/AAyEeQwtgPD3ywvRsm7OGPoJ2acDpFlu5cGDyuVinoY),Weapon,Sword,Light,No,,,30,,,,,,,,,The Legendary sword that seals the darkness. Its blade gleams with a sacred luster that can oppose the Calamity. Only a hero chosen by the sword itself may wield it.,,,,,,,,,"The Master Sword does not break, but it does run out of energy. It takes 10 minutes to recharge. The Master Sword has an attack power of 30 which jumps to 60 when Link is fighting Calamity enemies. The weapon throw is replaced by a beam attack usable only when Link has full hearts. "
Meteor Rod,BotW_Meteor_Rod_Icon.png?version=d1dbaa6cd88f822c3ecb8bd4cdc34349 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/EeJr3TjvVT5YQfEx5KqdFg/QaMTN3z-FulIS9oF1qFTSubMcghwpplpwBLsW1KtIIFwNTB6dzbOORkOTxklRPrF3rrj0JvBCH6gAFeNS0y-Pfh5dY1DAtM4VI8MyY0Qo47ylSeJE5M_06sKFZym4bcIO7C2hFHu9INCO2CJksF55jS0EAPJsJ7QR3m-oBkiw7E/JfuJvqc5JtLSkkTeSImaF5cvUuapaTF5zPA3OfvgG_E),Weapon,Rod,Light,Yes,,32,10,,,,,,,,,"A magical rod that can cast three fireballs at once, crafted by an ancient magician. It will break upon running out of magical energy, so make it last!",,,,,,,,,
Mighty Lynel Sword,BotW_Mighty_Lynel_Sword_Icon.png?version=b0378d714d39fdecf08c50825ecb58b0 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/7fC6ARqotfgY0A4cvHfavQ/v75P_opWns05N3iSyptCx9DTcWsu1To3NGJWs-1l1vZDKcVsAii9_vgXzKAziXDQ_DynmcJzPHZZuIP015_qx-oylTTlHHhHGoaZ_suThpfF72AD685A4tOpFTtCEUo1TQQP7ahbUpKhEoMG5FbtVqs8rIRYwfeuXB2fIgdM_WCA2UmZh0XNJoSD-denqBYq/B13EnMuR-vg_DhpjcbnJXcXx7ghW80aO-WWo27jLUAk),Weapon,Sword,Light,No,,32,36,,,,,,,,,This Lynel-made sword boasts more blades and more attack power. A skilled Lynel can draw this sword simply in passing and still cut a foe in two.,,,,,,,,,
Moonlight Scimitar,BotW_Moonlight_Scimitar_Icon.png?version=63c649b1d76285a40be4d4070ea4d62a (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/PTKdsWtA4Nafu6f7koxSZg/kBTlJnHLv1uY3HddE-18GX_mOe6J8o_FhsELlHUjZiSu-0x7uCwyGTVLQ1j1RmueIs1N96dgXifYFjD3YI-3GGuIVnPZn7R5LR6t7fFb9mnB8lP58yb-5-HEaLjY2BElWDDGeVhA4if5czV3LvGHysxoz8kXLf7tsoE9m-9PZR0lErLY6RncEc1Oyls6wo6j/1rsvOYkozd6wTsLgWIBkuPechEgjaICflgVjw8ucZCs),Weapon,Scimitar,Light,No,,32,25,,,,,,,,,Delicate Gerudo carvings decorate this curved sword. The engraved blade is extremely sharp. Apparently it once served ceremonial purposes in festivals.,,,,,,,,,
Royal Broadsword,BotW_Royal_Broadsword_Icon.png?version=0715fc960f104f5d08ae09607f944d2b (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/hgQC1B-tCACwBBCy-0PNlQ/uHVp0smZHW_YmVpcoQ_tu3uS9CHaucG99wMQXjTGqteHg0T5wXzicqKIqWhLuNbq__Ou85lagJ28DdkxhYegd-dPZqL59ESbGbGThemhcklL3MVB6Ne1EqOmK8U2eHf1IycCxfq9aBlIEqTgJPgFWS8udGr4UxuTpj0o8CG2L0JiJdGVPnUcFPFxTFJvQToi/ochykU5wk3ryce4ZfEl7lQg2eimUHT5hRQCCAdJUH88),Weapon,Sword,Light,No,,36,36,,,,,,,,,The Hyrulean royal family would award this sword to knights who achieved remarkable feats. A sword that balances strength and beauty as elegantly as this one is a rare find.,,,,,,,,,
Royal Guard's Sword,BotW_Royal_Guard%27s_Sword_Icon.png?version=39d1b98b6c6a54ab7f02914b0c6e6751 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/J_DO6CwzvQRUoU_EkE2kWw/mchmzrSn9EXnKUQQz7Q0f4hxXly0yEBBQ1hlXTIfgQf-dfbRvbDtK5JxPzdW8O5fV7mhzRwMSwTyRxZadYwMQkPhA_1_kbNjw9suToJbzfUhudN7dDvbxQTIfg8_ftBDrm-BEYatHZlw0oMAOuyrjrwpWHtAGJor_0R3lGgfMU8_4_k2ps7aup91GwkoDvrP/vdLqxEw0BtGg8wP8TwDLSd8t_hdZdpcfCoXwlaEoSDY),Weapon,Sword,Light,No,,14,48,,,,,,,,,"A Sheikah-made replica of the sword that seals the darkness. It was made with ancient technology to oppose the Great Calamity, but its low durability made it inefficient.",,,,,,,,,
Rusty Broadsword,BotW_Rusty_Broadsword_Icon.png?version=aeb9e3078a5de48e0e5dc1e882641629 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/mJE3OpSvuer6jO91nSjW8g/6N2c2orvrc5hs6b3U_sp56Ocjnor8MluFjOLBaorVvha0Bl5HW4zJRzou9OqdyFTL4P4SXoq9dkDwNmOcMZRPa0mH7h6SJFRQxg796pRHJEqavPa5NYZE0btz9nM_xHNRXjGkNFvxjn9-OSKbsaH41A-vsFQtFZ8iaU9pjIC6zQommUINhW4TRMbJLuHAES8/VXZAH1ER5F_Ig-7BKW-fTKF5XeTfrHkF8Io5TAZ09Zo),Weapon,Broadsword,Light,No,,8,6,,,,,,,,,A rusty sword used ages ago by a skilled swordsman. It can do some damage in the right hands but also breaks quickly.,,,,,,,,,
