Recipe Name,Class,Category,Heart Recovery,Bonus 1,Bonus 2,Buff Effect,Item Description,All Ingredients,Ingredient
Clam Chowder,Seafood,Cooked,30,Health,None,Hearty,Restores health and temporarily increases your maximum hearts.,"Fresh Milk, Goat Butter, Hearty Blueshell Snail, Tabantha Wheat",Fresh Milk
Clam Chowder,Seafood,Cooked,30,Health,None,Hearty,Restores health and temporarily increases your maximum hearts.,"Fresh Milk, Goat Butter, Hearty Blueshell Snail, Tabantha Wheat", Goat Butter
Clam Chowder,Seafood,Cooked,30,Health,None,Hearty,Restores health and temporarily increases your maximum hearts.,"Fresh Milk, Goat Butter, Hearty Blueshell Snail, Tabantha Wheat", Hearty Blueshell Snail
Clam Chowder,Seafood,Cooked,30,Health,None,Hearty,Restores health and temporarily increases your maximum hearts.,"Fresh Milk, Goat Butter, Hearty Blueshell Snail, Tabantha Wheat", Tabantha Wheat
Copious Fish Skewers,Seafood,Cooked,8,None,None,None,"It's just a whole heap of stuff shoved on to a skewer, but it's still a pretty tasty dish.",Any 4 different Seafood,Any 4 different Seafood
Copious Fried Wild Greens,Vegetables,Cooked,2,None,None,None,A healthy dish made by cooking mixed greens over a strong flame.,"Any 4 different Vegetables, Herbs or Flowers",Any 4 different Vegetables
Copious Fried Wild Greens,Vegetables,Cooked,2,None,None,None,A healthy dish made by cooking mixed greens over a strong flame.,"Any 4 different Vegetables, Herbs or Flowers", Herbs or Flowers
Copious Meat Skewers,Meat,Cooked,10,None,None,None,Just shove a bunch of meat on to a skewer and you're good to go.,"Raw Bird Thigh, Raw Bird Drumstick, Raw Gourmet Meat, Raw Meat, Raw Prime Meat, Raw Whole Bird",Raw Bird Thigh
Copious Meat Skewers,Meat,Cooked,10,None,None,None,Just shove a bunch of meat on to a skewer and you're good to go.,"Raw Bird Thigh, Raw Bird Drumstick, Raw Gourmet Meat, Raw Meat, Raw Prime Meat, Raw Whole Bird", Raw Bird Drumstick
Copious Meat Skewers,Meat,Cooked,10,None,None,None,Just shove a bunch of meat on to a skewer and you're good to go.,"Raw Bird Thigh, Raw Bird Drumstick, Raw Gourmet Meat, Raw Meat, Raw Prime Meat, Raw Whole Bird", Raw Gourmet Meat
Copious Meat Skewers,Meat,Cooked,10,None,None,None,Just shove a bunch of meat on to a skewer and you're good to go.,"Raw Bird Thigh, Raw Bird Drumstick, Raw Gourmet Meat, Raw Meat, Raw Prime Meat, Raw Whole Bird", Raw Meat
Copious Meat Skewers,Meat,Cooked,10,None,None,None,Just shove a bunch of meat on to a skewer and you're good to go.,"Raw Bird Thigh, Raw Bird Drumstick, Raw Gourmet Meat, Raw Meat, Raw Prime Meat, Raw Whole Bird", Raw Prime Meat
Copious Meat Skewers,Meat,Cooked,10,None,None,None,Just shove a bunch of meat on to a skewer and you're good to go.,"Raw Bird Thigh, Raw Bird Drumstick, Raw Gourmet Meat, Raw Meat, Raw Prime Meat, Raw Whole Bird", Raw Whole Bird
Copious Mushrooms Skewers,Vegetables,Cooked,5,None,None,None,Fans of fungal cuisine can't resist this simple mushroom-skewer dish. Very filling.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom",Rushroom
Copious Mushrooms Skewers,Vegetables,Cooked,5,None,None,None,Fans of fungal cuisine can't resist this simple mushroom-skewer dish. Very filling.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Sunshroom
Copious Mushrooms Skewers,Vegetables,Cooked,5,None,None,None,Fans of fungal cuisine can't resist this simple mushroom-skewer dish. Very filling.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Zapshroom
Copious Mushrooms Skewers,Vegetables,Cooked,5,None,None,None,Fans of fungal cuisine can't resist this simple mushroom-skewer dish. Very filling.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Ironshroom
Copious Mushrooms Skewers,Vegetables,Cooked,5,None,None,None,Fans of fungal cuisine can't resist this simple mushroom-skewer dish. Very filling.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Chillshroom
Copious Mushrooms Skewers,Vegetables,Cooked,5,None,None,None,Fans of fungal cuisine can't resist this simple mushroom-skewer dish. Very filling.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Razorshroom
Copious Mushrooms Skewers,Vegetables,Cooked,5,None,None,None,Fans of fungal cuisine can't resist this simple mushroom-skewer dish. Very filling.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Endura Shroom
Copious Mushrooms Skewers,Vegetables,Cooked,5,None,None,None,Fans of fungal cuisine can't resist this simple mushroom-skewer dish. Very filling.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Hylian Shroom
Copious Mushrooms Skewers,Vegetables,Cooked,5,None,None,None,Fans of fungal cuisine can't resist this simple mushroom-skewer dish. Very filling.,"Rushroom, Sunshroom, Zapshroom, Ironshroom, Chillshroom, Razorshroom, Endura Shroom, Hylian Shroom, Silent Shroom", Silent Shroom
Copious Simmered Fruit,Other Recipes,Cooked,4,None,None,None,The flavors of the various fruits in this simmered dish exist in perfect harmony.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry",Apple
Copious Simmered Fruit,Other Recipes,Cooked,4,None,None,None,The flavors of the various fruits in this simmered dish exist in perfect harmony.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Fleet-Lotus Seeds
Copious Simmered Fruit,Other Recipes,Cooked,4,None,None,None,The flavors of the various fruits in this simmered dish exist in perfect harmony.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Hearty Durian
Copious Simmered Fruit,Other Recipes,Cooked,4,None,None,None,The flavors of the various fruits in this simmered dish exist in perfect harmony.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Hydromelon
Copious Simmered Fruit,Other Recipes,Cooked,4,None,None,None,The flavors of the various fruits in this simmered dish exist in perfect harmony.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Mighty Bananas
Copious Simmered Fruit,Other Recipes,Cooked,4,None,None,None,The flavors of the various fruits in this simmered dish exist in perfect harmony.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Palm Fruit
Copious Simmered Fruit,Other Recipes,Cooked,4,None,None,None,The flavors of the various fruits in this simmered dish exist in perfect harmony.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Spicy Pepper
Copious Simmered Fruit,Other Recipes,Cooked,4,None,None,None,The flavors of the various fruits in this simmered dish exist in perfect harmony.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Voltfruit
Copious Simmered Fruit,Other Recipes,Cooked,4,None,None,None,The flavors of the various fruits in this simmered dish exist in perfect harmony.,"Apple, Fleet-Lotus Seeds, Hearty Durian, Hydromelon, Mighty Bananas, Palm Fruit, Spicy Pepper, Voltfruit, Wildberry", Wildberry
Crab Omelet With Rice,Seafood,Cooked,6,Stamina,Defense or Attack,None,The fluffy crab legs pair perfectly with the rice for a truly scrumptious dish.,"Hylian Rice, Bird Egg, Rock Salt, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab",Hylian Rice
Crab Omelet With Rice,Seafood,Cooked,6,Stamina,Defense or Attack,None,The fluffy crab legs pair perfectly with the rice for a truly scrumptious dish.,"Hylian Rice, Bird Egg, Rock Salt, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Bird Egg
Crab Omelet With Rice,Seafood,Cooked,6,Stamina,Defense or Attack,None,The fluffy crab legs pair perfectly with the rice for a truly scrumptious dish.,"Hylian Rice, Bird Egg, Rock Salt, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Rock Salt
Crab Omelet With Rice,Seafood,Cooked,6,Stamina,Defense or Attack,None,The fluffy crab legs pair perfectly with the rice for a truly scrumptious dish.,"Hylian Rice, Bird Egg, Rock Salt, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Ironshell Crab
Crab Omelet With Rice,Seafood,Cooked,6,Stamina,Defense or Attack,None,The fluffy crab legs pair perfectly with the rice for a truly scrumptious dish.,"Hylian Rice, Bird Egg, Rock Salt, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Razorclaw Crab
Crab Omelet With Rice,Seafood,Cooked,6,Stamina,Defense or Attack,None,The fluffy crab legs pair perfectly with the rice for a truly scrumptious dish.,"Hylian Rice, Bird Egg, Rock Salt, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Bright-Eyed Crab
Crab Risotto,Seafood,Cooked,4,Stamina,Defense or Attack,None,"An everyday stable of seaside villages, the secret to its delicious flavor lies in crab fat.","Hylian Rice, Goat Butter, Rock Salt, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab",Hylian Rice
Crab Risotto,Seafood,Cooked,4,Stamina,Defense or Attack,None,"An everyday stable of seaside villages, the secret to its delicious flavor lies in crab fat.","Hylian Rice, Goat Butter, Rock Salt, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Goat Butter
Crab Risotto,Seafood,Cooked,4,Stamina,Defense or Attack,None,"An everyday stable of seaside villages, the secret to its delicious flavor lies in crab fat.","Hylian Rice, Goat Butter, Rock Salt, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Rock Salt
Crab Risotto,Seafood,Cooked,4,Stamina,Defense or Attack,None,"An everyday stable of seaside villages, the secret to its delicious flavor lies in crab fat.","Hylian Rice, Goat Butter, Rock Salt, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Ironshell Crab
Crab Risotto,Seafood,Cooked,4,Stamina,Defense or Attack,None,"An everyday stable of seaside villages, the secret to its delicious flavor lies in crab fat.","Hylian Rice, Goat Butter, Rock Salt, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Razorclaw Crab
Crab Risotto,Seafood,Cooked,4,Stamina,Defense or Attack,None,"An everyday stable of seaside villages, the secret to its delicious flavor lies in crab fat.","Hylian Rice, Goat Butter, Rock Salt, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Bright-Eyed Crab
Crab Stir-Fry,Seafood,Cooked,2,Stamina,Defense or Attack,None,The Goron spice used in preparing this crab pairs perfectly with the flavor of the meat.,"Goron Spice, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab",Goron Spice
Crab Stir-Fry,Seafood,Cooked,2,Stamina,Defense or Attack,None,The Goron spice used in preparing this crab pairs perfectly with the flavor of the meat.,"Goron Spice, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Ironshell Crab
Crab Stir-Fry,Seafood,Cooked,2,Stamina,Defense or Attack,None,The Goron spice used in preparing this crab pairs perfectly with the flavor of the meat.,"Goron Spice, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Razorclaw Crab
Crab Stir-Fry,Seafood,Cooked,2,Stamina,Defense or Attack,None,The Goron spice used in preparing this crab pairs perfectly with the flavor of the meat.,"Goron Spice, Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Bright-Eyed Crab
Cream Of Mushroom Soup,Vegetables,Cooked,4,None,None,None,The creamy mushroom and vegetable soup is so chunky it eats like a meal!,"Any Mushroom, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt",Any Mushroom
Cream Of Mushroom Soup,Vegetables,Cooked,4,None,None,None,The creamy mushroom and vegetable soup is so chunky it eats like a meal!,"Any Mushroom, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt", Any Vegetable
Cream Of Mushroom Soup,Vegetables,Cooked,4,None,None,None,The creamy mushroom and vegetable soup is so chunky it eats like a meal!,"Any Mushroom, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt", Any Flower or Herb
Cream Of Mushroom Soup,Vegetables,Cooked,4,None,None,None,The creamy mushroom and vegetable soup is so chunky it eats like a meal!,"Any Mushroom, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt", Fresh Milk
Cream Of Mushroom Soup,Vegetables,Cooked,4,None,None,None,The creamy mushroom and vegetable soup is so chunky it eats like a meal!,"Any Mushroom, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt", Rock Salt
Cream Of Vegetable Soup,Vegetables,Cooked,3,None,None,None,"Made by simmering vegetables in milk, this healthy dish is as simple as the ingredients.","Any Vegetable (except Carrot or Pumpkin), Any Flower or Herb, Fresh Milk, Rock Salt",Any Vegetable (except Carrot or Pumpkin)
Cream Of Vegetable Soup,Vegetables,Cooked,3,None,None,None,"Made by simmering vegetables in milk, this healthy dish is as simple as the ingredients.","Any Vegetable (except Carrot or Pumpkin), Any Flower or Herb, Fresh Milk, Rock Salt", Any Flower or Herb
Cream Of Vegetable Soup,Vegetables,Cooked,3,None,None,None,"Made by simmering vegetables in milk, this healthy dish is as simple as the ingredients.","Any Vegetable (except Carrot or Pumpkin), Any Flower or Herb, Fresh Milk, Rock Salt", Fresh Milk
Cream Of Vegetable Soup,Vegetables,Cooked,3,None,None,None,"Made by simmering vegetables in milk, this healthy dish is as simple as the ingredients.","Any Vegetable (except Carrot or Pumpkin), Any Flower or Herb, Fresh Milk, Rock Salt", Rock Salt
Creamy Heart Soup,Vegetables,Cooked,8,None,None,None,Enjoying this sweet soup with another person will bring you both closer together.,"Hydromelon, Voltfruit, Fresh Milk, Hearty Radish, Big Hearty Radish",Hydromelon
Creamy Heart Soup,Vegetables,Cooked,8,None,None,None,Enjoying this sweet soup with another person will bring you both closer together.,"Hydromelon, Voltfruit, Fresh Milk, Hearty Radish, Big Hearty Radish", Voltfruit
Creamy Heart Soup,Vegetables,Cooked,8,None,None,None,Enjoying this sweet soup with another person will bring you both closer together.,"Hydromelon, Voltfruit, Fresh Milk, Hearty Radish, Big Hearty Radish", Fresh Milk
Creamy Heart Soup,Vegetables,Cooked,8,None,None,None,Enjoying this sweet soup with another person will bring you both closer together.,"Hydromelon, Voltfruit, Fresh Milk, Hearty Radish, Big Hearty Radish", Hearty Radish
Creamy Heart Soup,Vegetables,Cooked,8,None,None,None,Enjoying this sweet soup with another person will bring you both closer together.,"Hydromelon, Voltfruit, Fresh Milk, Hearty Radish, Big Hearty Radish", Big Hearty Radish
Creamy Meat Soup,Meat,Cooked,5,None,None,None,This nutritious soup contains serious portions of lightly-braised meat and many vegetables.,"Any Meat, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt",Any Meat
Creamy Meat Soup,Meat,Cooked,5,None,None,None,This nutritious soup contains serious portions of lightly-braised meat and many vegetables.,"Any Meat, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt", Any Vegetable
Creamy Meat Soup,Meat,Cooked,5,None,None,None,This nutritious soup contains serious portions of lightly-braised meat and many vegetables.,"Any Meat, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt", Any Flower or Herb
Creamy Meat Soup,Meat,Cooked,5,None,None,None,This nutritious soup contains serious portions of lightly-braised meat and many vegetables.,"Any Meat, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt", Fresh Milk
Creamy Meat Soup,Meat,Cooked,5,None,None,None,This nutritious soup contains serious portions of lightly-braised meat and many vegetables.,"Any Meat, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt", Rock Salt
Creamy Seafood Soup,Seafood,Cooked,5,None,None,None,Thuck-cut chunks of seafood and stock provides a satisfying savoriness.,"Any Seafood, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt",Any Seafood
Creamy Seafood Soup,Seafood,Cooked,5,None,None,None,Thuck-cut chunks of seafood and stock provides a satisfying savoriness.,"Any Seafood, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt", Any Vegetable
Creamy Seafood Soup,Seafood,Cooked,5,None,None,None,Thuck-cut chunks of seafood and stock provides a satisfying savoriness.,"Any Seafood, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt", Any Flower or Herb
Creamy Seafood Soup,Seafood,Cooked,5,None,None,None,Thuck-cut chunks of seafood and stock provides a satisfying savoriness.,"Any Seafood, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt", Fresh Milk
Creamy Seafood Soup,Seafood,Cooked,5,None,None,None,Thuck-cut chunks of seafood and stock provides a satisfying savoriness.,"Any Seafood, Any Vegetable, Any Flower or Herb, Fresh Milk, Rock Salt", Rock Salt
Curry Pilaf,Other Recipes,Cooked,2,None,None,None,"The goron spice used in this pilaf has given it a rich, spicy aroma.","Hylian Rice, Bird Egg, Goat Butter, Goron Spice",Hylian Rice
Curry Pilaf,Other Recipes,Cooked,2,None,None,None,"The goron spice used in this pilaf has given it a rich, spicy aroma.","Hylian Rice, Bird Egg, Goat Butter, Goron Spice", Bird Egg
Curry Pilaf,Other Recipes,Cooked,2,None,None,None,"The goron spice used in this pilaf has given it a rich, spicy aroma.","Hylian Rice, Bird Egg, Goat Butter, Goron Spice", Goat Butter
Curry Pilaf,Other Recipes,Cooked,2,None,None,None,"The goron spice used in this pilaf has given it a rich, spicy aroma.","Hylian Rice, Bird Egg, Goat Butter, Goron Spice", Goron Spice
Curry Rice,Other Recipes,Cooked,2,None,None,None,"A favorite all over Hyrule, this simple dish has a flavor you just won't get tired of.","Hylian Rice, Goron Spice",Hylian Rice
Curry Rice,Other Recipes,Cooked,2,None,None,None,"A favorite all over Hyrule, this simple dish has a flavor you just won't get tired of.","Hylian Rice, Goron Spice", Goron Spice
Dubious Food,Other Recipes,Cooked,1,None,None,None,It's too gross to even look at. A bizarre smell issues forth from this heap. Eating it won't hurt you though...probably.,"Any Monster Part, Wood, Bladed Rhino Beetle, Rugged Rhino Beetle, Energetic Rhino Beetle, Cold Darner, Warm Darner, Electric Darner, Hearty Lizard",Any Monster Part
Dubious Food,Other Recipes,Cooked,1,None,None,None,It's too gross to even look at. A bizarre smell issues forth from this heap. Eating it won't hurt you though...probably.,"Any Monster Part, Wood, Bladed Rhino Beetle, Rugged Rhino Beetle, Energetic Rhino Beetle, Cold Darner, Warm Darner, Electric Darner, Hearty Lizard", Wood
Dubious Food,Other Recipes,Cooked,1,None,None,None,It's too gross to even look at. A bizarre smell issues forth from this heap. Eating it won't hurt you though...probably.,"Any Monster Part, Wood, Bladed Rhino Beetle, Rugged Rhino Beetle, Energetic Rhino Beetle, Cold Darner, Warm Darner, Electric Darner, Hearty Lizard", Bladed Rhino Beetle
Dubious Food,Other Recipes,Cooked,1,None,None,None,It's too gross to even look at. A bizarre smell issues forth from this heap. Eating it won't hurt you though...probably.,"Any Monster Part, Wood, Bladed Rhino Beetle, Rugged Rhino Beetle, Energetic Rhino Beetle, Cold Darner, Warm Darner, Electric Darner, Hearty Lizard", Rugged Rhino Beetle
Dubious Food,Other Recipes,Cooked,1,None,None,None,It's too gross to even look at. A bizarre smell issues forth from this heap. Eating it won't hurt you though...probably.,"Any Monster Part, Wood, Bladed Rhino Beetle, Rugged Rhino Beetle, Energetic Rhino Beetle, Cold Darner, Warm Darner, Electric Darner, Hearty Lizard", Energetic Rhino Beetle
Dubious Food,Other Recipes,Cooked,1,None,None,None,It's too gross to even look at. A bizarre smell issues forth from this heap. Eating it won't hurt you though...probably.,"Any Monster Part, Wood, Bladed Rhino Beetle, Rugged Rhino Beetle, Energetic Rhino Beetle, Cold Darner, Warm Darner, Electric Darner, Hearty Lizard", Cold Darner
Dubious Food,Other Recipes,Cooked,1,None,None,None,It's too gross to even look at. A bizarre smell issues forth from this heap. Eating it won't hurt you though...probably.,"Any Monster Part, Wood, Bladed Rhino Beetle, Rugged Rhino Beetle, Energetic Rhino Beetle, Cold Darner, Warm Darner, Electric Darner, Hearty Lizard", Warm Darner
Dubious Food,Other Recipes,Cooked,1,None,None,None,It's too gross to even look at. A bizarre smell issues forth from this heap. Eating it won't hurt you though...probably.,"Any Monster Part, Wood, Bladed Rhino Beetle, Rugged Rhino Beetle, Energetic Rhino Beetle, Cold Darner, Warm Darner, Electric Darner, Hearty Lizard", Electric Darner
Dubious Food,Other Recipes,Cooked,1,None,None,None,It's too gross to even look at. A bizarre smell issues forth from this heap. Eating it won't hurt you though...probably.,"Any Monster Part, Wood, Bladed Rhino Beetle, Rugged Rhino Beetle, Energetic Rhino Beetle, Cold Darner, Warm Darner, Electric Darner, Hearty Lizard", Hearty Lizard
Egg Pudding,Other Recipes,Cooked,3,None,None,None,"Made by cooking eggs and milk in a special mold, its soft texture melts in your mouth.","Fresh Milk, Bird Egg, Cane Sugar",Fresh Milk
Egg Pudding,Other Recipes,Cooked,3,None,None,None,"Made by cooking eggs and milk in a special mold, its soft texture melts in your mouth.","Fresh Milk, Bird Egg, Cane Sugar", Bird Egg
Egg Pudding,Other Recipes,Cooked,3,None,None,None,"Made by cooking eggs and milk in a special mold, its soft texture melts in your mouth.","Fresh Milk, Bird Egg, Cane Sugar", Cane Sugar
Egg Tart,Cake and Sweets,Cooked,4,None,None,None,You'll know this simple dessert is done baking when it smells just delightful.,"Tabantha Wheat, Bird Egg, Cane Sugar, Goat Butter",Tabantha Wheat
Egg Tart,Cake and Sweets,Cooked,4,None,None,None,You'll know this simple dessert is done baking when it smells just delightful.,"Tabantha Wheat, Bird Egg, Cane Sugar, Goat Butter", Bird Egg
